in:name,in:building width,in:building length,in:core width,in:core length,in:floor to floor,in:length shift,in:width shift,in:concrete or steel,in:glass performance,in:glazing ratio %,out:floor area,out:ECe Steel,out:EE Steel,out:ECe Concrete,out:EE Concrete,out:ECe Glazing,out:EE Glazing,out:Daylight Factor %,out:Total Cooling kwh,out:Total Heating kwh,out: Steel ECe/m2,out: Steel EE/m2,out:Concrete ECe/m2,out:Concrete EE/m2,out:Glazing ECe/m2,out:Glazing EE/m2,out:Total Ece,out: Total EE,:img,:threed
6.7-17.3-3.3-4.8-5.8--0.7--0.5-1.0-1.0-0.7,6.7,17.3,3.3,4.8,5.8,-0.7,-0.5,1,1,70,3514,1339900,16804000,502158.3,3223300,664290,13024440,92.1,180191,239044,381.3,4782.0,142.9,917.3,189.0,3706.4,2506348,33051740,6.7-17.3-3.3-4.8-5.8--0.7--0.5-1.0-1.0-0.7_0__Perspective.png,6.7-17.3-3.3-4.8-5.8--0.7--0.5-1.0-1.0-0.7.json
7.5-19.5-3.2-5.1-6.4-0.5--1.0-0.0-0.0-0.8,7.5,19.5,3.2,5.1,6.4,0.5,-1,0,0,80,4703.8,1628500,20424000,1520400,9759200,729027,14293110,88.4,243811,275930,346.2,4342.0,323.2,2074.7,155.0,3038.6,3877927,44476310,7.5-19.5-3.2-5.1-6.4-0.5--1.0-0.0-0.0-0.8_0__Perspective.png,7.5-19.5-3.2-5.1-6.4-0.5--1.0-0.0-0.0-0.8.json
7.4-18.2-2.6-4.1-5.4-0.9-0.7-0.0-1.0-0.6,7.4,18.2,2.6,4.1,5.4,0.9,0.7,0,1,60,4419.1,1362100,17082000,1271600,8162600,677710,13287560,70.4,194489,262415,308.2,3865.5,287.8,1847.1,153.4,3006.8,3311410,38532160,7.4-18.2-2.6-4.1-5.4-0.9-0.7-0.0-1.0-0.6_0__Perspective.png,7.4-18.2-2.6-4.1-5.4-0.9-0.7-0.0-1.0-0.6.json
6.8-17.6-3.1-3.4-4.3-0.6-0.4-1.0-1.0-0.6,6.8,17.6,3.1,3.4,4.3,0.6,0.4,1,1,60,3753.6,1629300,20434000,373339.2,2396400,518195,10160020,52.7,162301,219566,434.1,5443.8,99.5,638.4,138.1,2706.7,2520834,32990420,6.8-17.6-3.1-3.4-4.3-0.6-0.4-1.0-1.0-0.6_0__Perspective.png,6.8-17.6-3.1-3.4-4.3-0.6-0.4-1.0-1.0-0.6.json
6.6-18.4-3.0-5.8-6.0--0.1--0.8-0.0-2.0-0.9,6.6,18.4,3,5.8,6,-0.1,-0.8,0,2,90,3696.5,1296800,16263000,1210700,7771200,1129792,22173280,91.8,190423,253746,350.8,4399.6,327.5,2102.3,305.6,5998.5,3637292,46207480,6.6-18.4-3.0-5.8-6.0--0.1--0.8-0.0-2.0-0.9_0__Perspective.png,6.6-18.4-3.0-5.8-6.0--0.1--0.8-0.0-2.0-0.9.json
7.2-19.3-2.9-5.3-4.8-0.3--0.1-1.0-1.0-0.9,7.2,19.3,2.9,5.3,4.8,0.3,-0.1,1,1,90,4052.3,2136700,26797000,513162.5,3294000,570045,11176620,65.9,197586,257970,527.3,6612.8,126.6,812.9,140.7,2758.1,3219908,41267620,7.2-19.3-2.9-5.3-4.8-0.3--0.1-1.0-1.0-0.9_0__Perspective.png,7.2-19.3-2.9-5.3-4.8-0.3--0.1-1.0-1.0-0.9.json
6.9-18.9-3.1-3.5-4.3--1.9--0.8-1.0-1.0-0.9,6.9,18.9,3.1,3.5,4.3,-1.9,-0.8,1,1,90,4467,1525900,19137000,455981.7,2926900,499590,9795240,46.7,170198,237566,341.6,4284.1,102.1,655.2,111.8,2192.8,2481472,31859140,6.9-18.9-3.1-3.5-4.3--1.9--0.8-1.0-1.0-0.9_0__Perspective.png,6.9-18.9-3.1-3.5-4.3--1.9--0.8-1.0-1.0-0.9.json
7.2-17.8-3.0-3.3-4.2-0.8-0.4-1.0-1.0-0.5,7.2,17.8,3,3.3,4.2,0.8,0.4,1,1,50,4085.8,1276100,16004000,366914.2,2355200,533140,10453040,49.6,168131,230246,312.3,3917.0,89.8,576.4,130.5,2558.4,2176154,28812240,7.2-17.8-3.0-3.3-4.2-0.8-0.4-1.0-1.0-0.5_0__Perspective.png,7.2-17.8-3.0-3.3-4.2-0.8-0.4-1.0-1.0-0.5.json
8.6-18.9-2.7-3.2-6.2-0.6-0.2-0.0-2.0-0.7,8.6,18.9,2.7,3.2,6.2,0.6,0.2,0,2,70,5136.5,1756000,22022000,1639400,10523000,1315720,25822300,71.5,238020,319052,341.9,4287.4,319.2,2048.7,256.2,5027.2,4711120,58367300,8.6-18.9-2.7-3.2-6.2-0.6-0.2-0.0-2.0-0.7_0__Perspective.png,8.6-18.9-2.7-3.2-6.2-0.6-0.2-0.0-2.0-0.7.json
6.5-17.1-2.9-3.3-6.1-1.3--0.6-0.0-1.0-0.4,6.5,17.1,2.9,3.3,6.1,1.3,-0.6,0,1,40,3680.9,1094500,13726000,1021800,6558900,759755,14896180,98.1,182881,237391,297.3,3729.0,277.6,1781.9,206.4,4046.9,2876055,35181080,6.5-17.1-2.9-3.3-6.1-1.3--0.6-0.0-1.0-0.4_0__Perspective.png,6.5-17.1-2.9-3.3-6.1-1.3--0.6-0.0-1.0-0.4.json
7.1-19.7-3.2-5.7-5.4--1.0--0.4-1.0-2.0-0.3,7.1,19.7,3.2,5.7,5.4,-1,-0.4,1,2,30,4242.1,1899100,23817000,450783.2,2893600,1315720,25822300,86.5,206916,272747,447.7,5614.4,106.3,682.1,310.2,6087.2,3665603,52532900,7.1-19.7-3.2-5.7-5.4--1.0--0.4-1.0-2.0-0.3_0__Perspective.png,7.1-19.7-3.2-5.7-5.4--1.0--0.4-1.0-2.0-0.3.json
6.9-18.0-3.2-4.4-4.9--1.2--0.4-1.0-2.0-0.4,6.9,18,3.2,4.4,4.9,-1.2,-0.4,1,2,40,3883.8,1720500,21577000,398094,2555300,1071372,21026730,72.9,178575,237373,443.0,5555.6,102.5,657.9,275.9,5414.0,3189966,45159030,6.9-18.0-3.2-4.4-4.9--1.2--0.4-1.0-2.0-0.4_0__Perspective.png,6.9-18.0-3.2-4.4-4.9--1.2--0.4-1.0-2.0-0.4.json
7.6-15.8-3.2-5.4-4.7-0.8--0.4-0.0-2.0-0.3,7.6,15.8,3.2,5.4,4.7,0.8,-0.4,0,2,30,3579.5,1115400,13989000,1041400,6684400,980440,19242100,68.9,165977,224355,311.6,3908.1,290.9,1867.4,273.9,5375.6,3137240,39915500,7.6-15.8-3.2-5.4-4.7-0.8--0.4-0.0-2.0-0.3_0__Perspective.png,7.6-15.8-3.2-5.4-4.7-0.8--0.4-0.0-2.0-0.3.json
7.3-18.1-2.7-3.5-4.7-1.3-0.7-0.0-1.0-0.0,7.3,18.1,2.7,3.5,4.7,1.3,0.7,0,1,0,4435.8,1173700,14720000,1095700,7033500,707905,13879580,71.1,184000,247675,264.6,3318.5,247.0,1585.6,159.6,3129.0,2977305,35633080,7.3-18.1-2.7-3.5-4.7-1.3-0.7-0.0-1.0-0.0_0__Perspective.png,7.3-18.1-2.7-3.5-4.7-1.3-0.7-0.0-1.0-0.0.json
7.9-16.6-2.7-5.2-5.6--1.4-0.0-1.0-2.0-0.6,7.9,16.6,2.7,5.2,5.6,-1.4,0,1,2,60,4012.6,1630300,20446000,506908.4,3253800,1093216,21455440,73.6,189060,256857,406.3,5095.4,126.3,810.9,272.4,5347.0,3230424,45155240,7.9-16.6-2.7-5.2-5.6--1.4-0.0-1.0-2.0-0.6_0__Perspective.png,7.9-16.6-2.7-5.2-5.6--1.4-0.0-1.0-2.0-0.6.json
8.4-15.5-3.3-4.1-4.4--1.1--0.5-0.0-1.0-0.4,8.4,15.5,3.3,4.1,4.4,-1.1,-0.5,0,1,40,4128,1301400,16321000,1215000,7798900,535885,10506860,47.2,168127,233803,315.3,3953.7,294.3,1889.3,129.8,2545.3,3052285,34626760,8.4-15.5-3.3-4.1-4.4--1.1--0.5-0.0-1.0-0.4_0__Perspective.png,8.4-15.5-3.3-4.1-4.4--1.1--0.5-0.0-1.0-0.4.json
7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-0.0-0.5,7.9,18,2.9,3.2,5.8,0.2,-0.7,1,0,50,4590.4,1416300,17762000,468991.4,3010400,690525,13538250,90.4,229756,256041,308.5,3869.4,102.2,655.8,150.4,2949.3,2575816,34310650,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-0.0-0.5_0__Perspective.png,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-0.0-0.5.json
