Name,in:Elevator Width,in:Elevator Length,in:Module Width,in:Module Length,in:Floor Height,in:Length Shift,in:Width Shift,in:Glass Type,in:Solid Wall Amount,out:Total SF,out:Total Steel Tonnage,out:Total EE,out:Amount Glazed,img:Image Name,threeD,,,,,
10~20~32~66~14~-2~-2~6~0.3,10,20,32,66,14,-2,-2,6,0.3,65792,674.171525,12608.67583,0.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_26.0_66.0_14.0_-8.0_2.0_4.0_0.44_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_32.0_66.0_14.0_0.0_2.0_3.0_0.46.json,,,,,
12~12~26~66~14~-8~2~4~0.44,12,12,26,66,14,-8,2,4,0.44,58080,613.609428,12999.82782,0.14,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_26.0_74.0_18.0_-2.0_-2.0_6.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_26.0_66.0_14.0_-8.0_2.0_4.0_0.44.json,,,,,
12~12~26~74~18~-2~-2~6~0.3,12,12,26,74,18,-2,-2,6,0.3,61664,603.848939,12049.41619,0.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_26.0_76.0_16.0_6.0_2.0_1.0_0.43_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_26.0_74.0_18.0_-2.0_-2.0_6.0_0.3.json,,,,,
12~12~26~76~16~6~2~1~0.43,12,12,26,76,16,6,2,1,0.43,65728,671.275418,12566.79041,0.16,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.25_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_26.0_76.0_16.0_6.0_2.0_1.0_0.43.json,,,,,
12~12~28~60~16~6~-4~1~0.25,12,12,28,60,16,6,-4,1,0.25,58368,462.395351,9747.978344,1,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.26_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.25.json,,,,,
12~12~28~60~16~6~-4~1~0.26,12,12,28,60,16,6,-4,1,0.26,58368,462.395351,9747.978344,0.92,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_60.0_17.0_-8.0_-2.0_8.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.26.json,,,,,
12~12~28~60~17~-8~-2~8~0.4,12,12,28,60,17,-8,-2,8,0.4,57024,739.625821,15959.94669,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_64.0_18.0_0.0_2.0_8.0_0.47_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_60.0_17.0_-8.0_-2.0_8.0_0.4.json,,,,,
12~12~28~64~18~0~2~8~0.47,12,12,28,64,18,0,2,8,0.47,55808,680.646004,15006.98825,0.06,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_64.0_18.0_2.0_0.0_0.0_0.46_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_64.0_18.0_0.0_2.0_8.0_0.47.json,,,,,
12~12~28~64~18~2~0~0~0.46,12,12,28,64,18,2,0,0,0.46,54080,351.021258,7986.871302,0.09,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_16.0_-2.0_-2.0_6.0_0.33_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_64.0_18.0_2.0_0.0_0.0_0.46.json,,,,,
12~12~28~66~16~0~-2~5~0.34,12,12,28,66,16,0,-2,5,0.34,57696,682.765978,14561.49473,0.47,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_16.0_0.0_-2.0_5.0_0.34_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_16.0_-2.0_-2.0_6.0_0.33.json,,,,,
12~12~28~66~16~-2~-2~6~0.33,12,12,28,66,16,-2,-2,6,0.33,58944,666.213969,13907.43757,0.52,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_17.0_2.0_0.0_0.0_0.1_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_16.0_0.0_-2.0_5.0_0.34.json,,,,,
12~12~28~66~17~2~0~0~0.1,12,12,28,66,17,2,0,0,0.1,55872,363.645521,8008.662658,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_18.0_4.0_-2.0_0.0_0.05_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_17.0_2.0_0.0_0.0_0.1.json,,,,,
12~12~28~66~18~4~-2~0~0.05,12,12,28,66,18,4,-2,0,0.05,60192,769.805628,15736.80888,9,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_70.0_15.0_-2.0_-2.0_6.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_18.0_4.0_-2.0_0.0_0.05.json,,,,,
12~12~28~70~15~-2~-2~6~0.4,12,12,28,70,15,-2,-2,6,0.4,62720,684.810725,13435.10842,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_70.0_15.0_-2.0_-4.0_6.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_70.0_15.0_-2.0_-2.0_6.0_0.4.json,,,,,
