in:name,in:width,in:length,in:core w.,in:core l.,in:floor height,in:shift l.,in:shift w.,in:concrete or steel,in:glass type,in:glazing ratio ,out:FLOOR AREA,out:DAYLIGHT FACT.,out:COOLING kwh,out:HEATING kwh,out:STEEL ece,out:CONC. Ece,out:GLAZING ece,out:TOTAL ece,img:Image Name,threeD
8.9-18.8-3.4-3.2-6.0-0.4-0.7-0.0-0.0-0.0,8.9,18.8,3.4,3.2,6,0.4,0.7,0,0,0,5400.6,88.1,260948,295770,304.9,284.7,167.0,4085728.0,8.9-18.8-3.4-3.2-6.0-0.4-0.7-0.0-0.0-0.0_0__Perspective.png,8.9-18.8-3.4-3.2-6.0-0.4-0.7-0.0-0.0-0.0.json
6.6-15.4-2.7-3.5-4.2--0.8--0.6-0.0-0.0-0.0,6.6,15.4,2.7,3.5,4.2,-0.8,-0.6,0,0,0,3287,71.1,151321,174800,255.0,238.0,152.5,2121828.1,6.6-15.4-2.7-3.5-4.2--0.8--0.6-0.0-0.0-0.0_0__Perspective.png,6.6-15.4-2.7-3.5-4.2--0.8--0.6-0.0-0.0-0.0.json
8.9-18.1-3.3-5.6-4.7-1.3--0.4-0.0-2.0-0.2,8.9,18.1,3.3,5.6,4.7,1.3,-0.4,0,2,20,5002.5,57,210228,287835,317.6,296.5,234.1,4243340.0,8.9-18.1-3.3-5.6-4.7-1.3--0.4-0.0-2.0-0.2_0__Perspective.png,8.9-18.1-3.3-5.6-4.7-1.3--0.4-0.0-2.0-0.2.json
7.5-19.6-2.7-5.1-4.6--2.0-0.0-0.0-0.0-0.3,7.5,19.6,2.7,5.1,4.6,-2,0,0,0,30,4623.4,63.2,215046,247631,287.6,268.5,134.1,3191517.0,7.5-19.6-2.7-5.1-4.6--2.0-0.0-0.0-0.0-0.3_0__Perspective.png,7.5-19.6-2.7-5.1-4.6--2.0-0.0-0.0-0.0-0.3.json
8.2-16.1-3.1-5.3-4.5-0.6-0.2-0.0-2.0-0.1,8.2,16.1,3.1,5.3,4.5,0.6,0.2,0,2,10,3891.4,63.8,176715,239594,303.8,283.7,268.1,3329732.0,8.2-16.1-3.1-5.3-4.5-0.6-0.2-0.0-2.0-0.1_0__Perspective.png,8.2-16.1-3.1-5.3-4.5-0.6-0.2-0.0-2.0-0.1.json
6.5-17.6-3.4-4.3-5.7--1.8--0.9-0.0-1.0-0.9,6.5,17.6,3.4,4.3,5.7,-1.8,-0.9,0,1,90,3815,83,175426,236549,327.4,305.6,161.7,3031915.0,6.5-17.6-3.4-4.3-5.7--1.8--0.9-0.0-1.0-0.9_0__Perspective.png,6.5-17.6-3.4-4.3-5.7--1.8--0.9-0.0-1.0-0.9.json
8.9-19.4-3.2-4.9-4.8--1.9--0.8-1.0-1.0-0.6,8.9,19.4,3.2,4.9,4.8,-1.9,-0.8,1,1,60,5765.2,41.6,217676,308168,384.0,95.7,113.4,3419189.1,8.9-19.4-3.2-4.9-4.8--1.9--0.8-1.0-1.0-0.6_0__Perspective.png,8.9-19.4-3.2-4.9-4.8--1.9--0.8-1.0-1.0-0.6.json
7.3-18.1-2.7-3.5-4.7-1.3-0.0-0.0-0.0-0.2,7.3,18.1,2.7,3.5,4.7,1.3,0,0,0,20,4153.5,70,199187,225942,276.1,257.7,147.0,2827552.0,7.3-18.1-2.7-3.5-4.7-1.3-0.0-0.0-0.0-0.2_0__Perspective.png,7.3-18.1-2.7-3.5-4.7-1.3-0.0-0.0-0.0-0.2.json
6.3-16.2-3.4-3.5-4.2--1.9--0.3-1.0-1.0-0.7,6.3,16.2,3.4,3.5,4.2,-1.9,-0.3,1,1,70,3275.4,54.6,140824,190342,471.2,111.1,137.5,2357757.2,6.3-16.2-3.4-3.5-4.2--1.9--0.3-1.0-1.0-0.7_0__Perspective.png,6.3-16.2-3.4-3.5-4.2--1.9--0.3-1.0-1.0-0.7.json
6.9-18.4-3.4-3.9-4.8--0.7--0.1-0.0-0.0-0.6,6.9,18.4,3.4,3.9,4.8,-0.7,-0.1,0,0,60,3796.8,65.4,195521,221023,300.3,280.4,145.1,2755925.0,6.9-18.4-3.4-3.9-4.8--0.7--0.1-0.0-0.0-0.6_0__Perspective.png,6.9-18.4-3.4-3.9-4.8--0.7--0.1-0.0-0.0-0.6.json
8.8-18.9-3.4-4.0-5.8--1.7--0.7-1.0-1.0-0.9,8.8,18.9,3.4,4,5.8,-1.7,-0.7,1,1,90,5535,58.5,225821,317967,423.3,121.3,122.9,3694712.4,8.8-18.9-3.4-4.0-5.8--1.7--0.7-1.0-1.0-0.9_0__Perspective.png,8.8-18.9-3.4-4.0-5.8--1.7--0.7-1.0-1.0-0.9.json
