in:Depth,in:Height,in:Orientation,in:WWR,in:SHD,out:Cooling[kWh],out:Heating[kWh],out:Lighting[kWh],out:EffDepth[m],out:DA,out:UDI,out:CDA,out:SDA,img,threeD
10,3.6,270,0.4,0,1926.974325,4776.972418,797.258013,4.25,35,43.888889,48.333333,45,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.6.json
10,4.2,270,0.4,0,2062.064852,5182.027602,673.895108,4.75,38.333333,46.111111,50.555556,48.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_4.2.json
6,3,270,0.4,0,1265.153813,3062.865547,98.346124,4.75,54.62963,70.37037,86.111111,75.93,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_6.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_6.0_RMH_3.0.json
6,3.6,270,0.4,0,1425.569114,3309.816567,85.379513,5.75,59.259259,65.740741,100,90.74,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_6.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_6.0_RMH_3.6.json
6,4.2,270,0.4,0,1588.33765,3563.661327,64.602883,5.75,66.666667,62.037037,100,100,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_6.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_6.0_RMH_4.2.json
8,3,270,0.4,0,1504.349405,3759.720812,438.840102,4.25,39.583333,58.333333,56.25,53.47,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_8.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_8.0_RMH_3.0.json
8,3.6,270,0.4,0,1649.801317,4091.610011,352.421598,4.75,43.75,73.611111,61.805556,56.94,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_8.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_8.0_RMH_3.6.json
8,4.2,270,0.4,0,1803.233048,4405.053054,294.724012,4.75,47.916667,71.527778,65.277778,62.5,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_8.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_8.0_RMH_4.2.json
10,3,315,0.4,0,1865.443658,4186.402421,798.259644,4.75,35,38.333333,48.888889,48.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.0.json
10,3.6,315,0.4,0,2015.246221,4520.767016,658.44339,5.25,38.333333,38.888889,50.555556,52.22,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.6.json
10,4.2,315,0.4,0,2181.150756,4791.706179,638.468117,5.25,40.555556,42.777778,55,55.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_4.2.json
6,3,315,0.4,0,1326.870847,2764.230842,98.243821,5.75,61.111111,60.185185,100,99.07,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_6.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_6.0_RMH_3.0.json
6,3.6,315,0.4,0,1499.500428,2978.156198,68.397597,5.75,66.666667,53.703704,100,100,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_6.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_6.0_RMH_3.6.json
6,4.2,315,0.4,0,1685.807745,3186.84726,50.597278,5.75,75.925926,49.074074,100,100,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_6.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_6.0_RMH_4.2.json
8,3,315,0.4,0,1559.666048,3513.704967,337.852275,4.75,43.75,62.5,62.5,61.81,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_8.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_8.0_RMH_3.0.json
8,3.6,315,0.4,0,1724.78518,3777.556252,261.894016,5.25,47.916667,65.277778,68.055556,67.36,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_8.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_8.0_RMH_3.6.json
8,4.2,315,0.4,0,1889.545768,4028.309407,216.608913,5.75,51.388889,63.888889,74.305556,72.22,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_8.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_8.0_RMH_4.2.json
10,3,45,0.4,0,1785.0415,4161.353533,592.432813,4.75,35,37.777778,48.333333,48.33,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.0.json
10,3.6,45,0.4,0,1969.739098,4465.294646,475.415757,5.25,40,38.333333,52.777778,51.67,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.6.json
10,4.2,45,0.4,0,2096.003234,4772.866069,366.636037,5.25,42.222222,40.555556,55.555556,54.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_4.2.json
