Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.8204-0.1774-0.29725-1.8323-1.541,0.8204,0.1774,0.29725,1.8323,1.541,11.225,0.418,0.008,0.45,Frame_00242.bmp,d3_242.json
0.86-0.3505-1.60625-0.8274-1.376,0.86,0.3505,1.60625,0.8274,1.376,1.454,0.159,0.291,1.324,Frame_00243.bmp,d3_243.json
0.836-0.2185-0.8835-0.8118-1.766,0.836,0.2185,0.8835,0.8118,1.766,1.841,0.163,0.1,1.072,Frame_00244.bmp,d3_244.json
0.5728-0.1351-1.832-1.9428-1.047,0.5728,0.1351,1.832,1.9428,1.047,8.082,0.402,0.125,0.601,Frame_00245.bmp,d3_245.json
0.6292-0.178-0.95175-1.9818-1.012,0.6292,0.178,0.95175,1.9818,1.012,8.099,0.375,0.035,0.56,Frame_00246.bmp,d3_246.json
0.8896-0.1093-0.71375-1.623-1.735,0.8896,0.1093,0.71375,1.623,1.735,9.765,0.391,0.034,0.483,Frame_00247.bmp,d3_247.json
0.5432-0.2818-0.81-1.9766-1.504,0.5432,0.2818,0.81,1.9766,1.504,12.93,0.466,0.02,0.436,Frame_00248.bmp,d3_248.json
0.5908-0.1189-0.7225-1.1264-1.106,0.5908,0.1189,0.7225,1.1264,1.106,2.443,0.17,0.05,0.84,Frame_00249.bmp,d3_249.json
0.8084-0.1546-1.3525-1.1108-1.003,0.8084,0.1546,1.3525,1.1108,1.003,2.093,0.173,0.176,1.001,Frame_00250.bmp,d3_250.json
0.8804-0.3865-0.705-1.012-1.896,0.8804,0.3865,0.705,1.012,1.896,3.513,0.222,0.046,0.765,Frame_00251.bmp,d3_251.json
0.684-0.1918-0.46875-1.727-1.03,0.684,0.1918,0.46875,1.727,1.03,6.08,0.299,0.013,0.593,Frame_00252.bmp,d3_252.json
0.7164-0.3568-0.32175-1.8154-1.567,0.7164,0.3568,0.32175,1.8154,1.567,11.207,0.417,0.006,0.449,Frame_00253.bmp,d3_253.json
0.8476-0.2707-0.36375-1.1719-1.267,0.8476,0.2707,0.36375,1.1719,1.267,3.166,0.193,0.018,0.735,Frame_00254.bmp,d3_254.json
0.5936-0.1222-0.915-1.4553-1.538,0.5936,0.1222,0.915,1.4553,1.538,6.624,0.311,0.045,0.567,Frame_00255.bmp,d3_255.json
0.5476-0.3541-1.258-1.805-1.275,0.5476,0.3541,1.258,1.805,1.275,8.7,0.38,0.058,0.528,Frame_00256.bmp,d3_256.json
0.556-0.2887-0.39875-1.9766-1.06,0.556,0.2887,0.39875,1.9766,1.06,8.528,0.373,0.007,0.528,Frame_00257.bmp,d3_257.json
0.5076-0.3313-0.292-1.7569-1.275,0.5076,0.3313,0.292,1.7569,1.275,8.186,0.347,0.004,0.512,Frame_00258.bmp,d3_258.json
0.8204-0.244-1.1775-1.9363-1.963,0.8204,0.244,1.1775,1.9363,1.963,16.698,0.553,0.045,0.4,Frame_00259.bmp,d3_259.json
0.6484-0.1066-0.96925-1.688-1.236,0.6484,0.1066,0.96925,1.688,1.236,7.206,0.332,0.045,0.557,Frame_00260.bmp,d3_260.json
0.5804-0.1351-0.71725-0.7624-1.768,0.5804,0.1351,0.71725,0.7624,1.768,1.558,0.146,0.068,1.134,Frame_00261.bmp,d3_261.json
0.8504-0.2722-1.4365-1.6126-1.777,0.8504,0.2722,1.4365,1.6126,1.777,9.886,0.413,0.083,0.505,Frame_00262.bmp,d3_262.json
0.7448-0.319-0.73125-1.3682-1.89,0.7448,0.319,0.73125,1.3682,1.89,7.246,0.329,0.03,0.548,Frame_00263.bmp,d3_263.json
0.8644-0.331-0.3515-1.7361-1.548,0.8644,0.331,0.3515,1.7361,1.548,9.993,0.388,0.009,0.47,Frame_00264.bmp,d3_264.json
0.5388-0.2635-0.68925-0.8144-1.465,0.5388,0.2635,0.68925,0.8144,1.465,1.5,0.135,0.055,1.084,Frame_00265.bmp,d3_265.json
0.8012-0.2632-1.00075-1.5034-1.167,0.8012,0.2632,1.00075,1.5034,1.167,5.161,0.272,0.058,0.638,Frame_00266.bmp,d3_266.json
0.5384-0.2305-1.67625-1.4969-1.074,0.5384,0.2305,1.67625,1.4969,1.074,4.618,0.28,0.153,0.732,Frame_00267.bmp,d3_267.json
0.5088-0.2086-0.313-0.9782-1.184,0.5088,0.2086,0.313,0.9782,1.184,1.872,0.141,0.013,0.909,Frame_00268.bmp,d3_268.json
0.6776-0.1279-0.8135-0.7468-1.662,0.6776,0.1279,0.8135,0.7468,1.662,1.373,0.138,0.095,1.214,Frame_00269.bmp,d3_269.json
0.5284-0.1615-0.27625-0.778-1.051,0.5284,0.1615,0.27625,0.778,1.051,0.893,0.092,0.017,1.25,Frame_00270.bmp,d3_270.json
0.7404-0.3889-1.32275-0.9756-1.138,0.7404,0.3889,1.32275,0.9756,1.138,1.773,0.158,0.175,1.074,Frame_00271.bmp,d3_271.json
0.7624-0.3595-0.56325-1.4566-1.015,0.7624,0.3595,0.56325,1.4566,1.015,4.043,0.229,0.022,0.686,Frame_00272.bmp,d3_272.json
0.6328-0.1435-0.35325-1.3942-1.68,0.6328,0.1435,0.35325,1.3942,1.68,6.631,0.303,0.012,0.551,Frame_00273.bmp,d3_273.json
0.5704-0.3742-1.4085-1.272-1.867,0.5704,0.3742,1.4085,1.272,1.867,6.018,0.313,0.092,0.628,Frame_00274.bmp,d3_274.json
